"start_station_name","ride_count","rider_type"
"Conservatory Dr & Lake St","214","member"
"Public Rack - Spaulding Ave & Evergreen Ave","214","member"
"Paulina St & Adams St","214","member"
"Washtenaw Ave & Ogden Ave","213","casual"
"North Boundary Park","210","casual"
"2112 W Peterson Ave","210","casual"
"Linder Ave & Montrose Ave","210","member"
"Hyacinth Ave & Milwaukee Ave","210","member"
"South Shore Dr & 74th St","208","member"
"Western Blvd & 48th Pl","208","member"
"Kedzie Ave & Chicago Ave","208","casual"
"Wallace St & Pershing Rd","208","member"
"Princeton Ave & 47th St","208","member"
"Oakley Ave & Touhy Ave","208","casual"
"LaSalle St & Calhoun Pl Corral","206","casual"
"Budlong Woods Library","205","casual"
"Kenwood Ave & 57th St","205","member"
"Karlov Ave & Armitage Ave","205","casual"
"Keeler Ave & Carmen Ave","205","member"
"Kildare Ave & North Ave","204","member"
"Addison/Sheffield SE Corral","203","casual"
"Addison/Wilton Corral","202","member"
"Fairfield Ave & Pratt Blvd","200","casual"
"California Ave & Granville Ave","200","casual"
"Public Rack - Drake Ave & Leland Ave","199","member"
"Lincoln Ave & Balmoral Ave","199","casual"
"Walden Pkwy & 100th St","197","casual"
"DuSable Museum","196","casual"
"Lavergne Ave & Fullerton Ave","196","member"
"Clark/Newport","196","member"
"Dan Ryan Woods & 83rd St","195","casual"
"Daley Center Plaza Corral","194","member"
"Big Marsh Park","193","casual"
"Shabbona Park","192","casual"
"Sacramento Blvd & Franklin Blvd","192","member"
"Public Rack - Jensen Park","190","member"
"Kostner Ave & Bryn Mawr Ave","189","casual"
"Public Rack - Milwaukee Ave & Haussen Ct","189","member"
"Melvina Ave & Giddings Ave","189","member"
"Lowell Ave & Armitage Ave","189","casual"
"Public Rack - Hyde Park Blvd & 53rd St","188","member"
"Clark St & Fletcher St","188","casual"
"Franklin St & Monroe St Corral","187","member"
"Paulina St & Adams St","187","casual"
"Princeton Ave & 47th St","187","casual"
"Marshfield Ave & Diversey Pkwy","187","member"
"Maplewood Ave & Peterson Ave","187","casual"
"Stony Island Ave & 75th St","186","member"
"St. Louis Ave & Balmoral Ave","186","casual"
"Laramie Ave & Addison St","186","casual"
"Public Rack - Washtenaw Ave & Devon Ave","185","member"
"Public Rack - Rockwell & Division","184","member"
"Komensky Ave & 31st St","183","member"
"Karlov Ave & Lawrence Ave","183","casual"
"Menard Ave & Lawrence Ave","182","member"
"California & 16th St","182","member"
"Kilbourn Ave & Milwaukee Ave","182","member"
"Western Ave & Lake St","182","casual"
"Cottage Grove Ave & 67th St","181","casual"
"Grace/Sheffield Corral","180","casual"
"Bernard St & Peterson Ave","180","member"
"Washtenaw Ave & Peterson Ave","179","member"
"N Shore Channel Trail & Argyle St","178","casual"
"Damen Ave & Evergreen Ave","178","member"
"California Ave & 41st St","177","casual"
"Addison/Sheffield SW Corral","177","member"
"Kilbourn Ave & Irving Park Rd","176","casual"
"Kostner Ave & Belmont Ave","176","member"
"Richmond St & Lincoln Ave","176","member"
"Sheffield Ave & Fullerton Ave*","176","member"
"State St & 29th St","175","casual"
"Cumberland Ave & Catherine Ave","175","casual"
"Central Ave & Chicago Ave","174","member"
"Lincoln Ave & Peterson Ave","174","casual"
"Grace St & Cicero Ave","174","casual"
"Fairfield Ave & Pratt Blvd","173","member"
"Franklin St & Madison St","172","casual"
"LaSalle St & Washington St Corral N","171","casual"
"Halsted St & 51st St","171","member"
"Wood St & 33rd St","170","casual"
"Fairfield Ave & Roosevelt Rd","169","member"
"Farragut Ave & Central Ave","169","member"
"Oak Park & Wellington","168","member"
"Indiana Ave & 40th St","167","member"
"Dodge Ave & Mulford St","167","casual"
"Long Ave & Belmont Ave","167","casual"
"Public Rack - Western Ave & Devon Ave","165","member"
"Elston Ave & Carmen Ave","164","member"
"Princeton Ave & Garfield Blvd","164","member"
"Western Ave & Ardmore Ave","163","casual"
"Austin Blvd & Lake St","163","member"
"Perry Ave & 69th St","163","casual"
"Keeler Ave & Carmen Ave","163","casual"
"Halsted St & 96th St","163","member"
"Halsted St & 47th Pl","162","member"
"Wood St & Walnut St","161","member"
"Broadway & Cuyler Ave","161","casual"
"Parnell Ave & 31st St","161","casual"
"Ashland Ave & Pershing Rd","160","casual"
"Marmora Ave & Irving Park Rd","159","casual"
"Sacramento Ave & Lunt Ave","159","member"
"Public Rack - Monticello Ave & Belmont Ave","159","member"
"Lamon Ave & Belmont Ave","158","member"
"Western Ave & 43rd St","158","member"
"St Louis Ave & Foster Ave","158","casual"
"Central Park Blvd & 5th Ave","158","member"
"Meade Ave & Fullerton Ave","157","casual"
"Long & Irving Park","156","casual"
"Wolcott Ave & Fargo Ave","155","casual"
"Sheffield Ave & Fletcher St","155","casual"
"Stony Island Ave & 67th St","155","casual"
"Wood St & 35th St","154","casual"
"Kostner Ave & Bryn Mawr Ave","154","member"
"Public Rack - Jonathan Y Scammon Public School","153","member"
"Central Ave & Altgeld St","153","member"
"Fairfield Ave & Roosevelt Rd","152","casual"
"Parnell Ave & 31st St","151","member"
"Bosworth Ave & Howard St","151","casual"
"Long & Irving Park","150","member"
"St Louis Ave & 59th St","150","member"
"Addison/Racine","150","casual"
"Public Rack - California Ave & Cortez St","150","member"
"California Ave & 23rd Pl","149","casual"
"Washtenaw Ave & Polk St","149","casual"
"Western Ave & Lyndale St","149","casual"
"St. Clair St & Erie St 2","149","member"
"Franklin St & Chicago Ave*","148","member"
"California Ave & Touhy Ave","148","casual"
"Damen Ave & Pershing Rd","147","member"
"LaSalle St & Washington St Corral","147","casual"
"California Ave & Touhy Ave","147","member"
"Kenmore Ave & School St","147","member"
"Addison/Sheffield SE Corral","147","member"
"Hoyne Ave & 34th St","147","member"
"Milwaukee Ave & Highland Ave","147","member"
"Burnham Greenway & 112th St","146","casual"
"Loomis St & Lexington St*","145","member"
"Melvina Ave & Giddings Ave","144","casual"
"Cicero Ave & Roscoe Ave","143","member"
"Edgebrook Metra","143","casual"
"Kilpatrick Ave & Parker Ave","143","member"
"Kostner Ave & Belmont Ave","142","casual"
"Kilbourn Ave & Roscoe St","141","casual"
"Public Rack - Christiana Ave & Belmont Ave","141","casual"
"Eberhart Ave & 61st St","141","casual"
"Pine Grove Ave & Wellington Ave","141","casual"
"California Ave & Winona St","140","casual"
"Waveland/Racine","140","casual"
"California Ave & 26th St","139","member"
"Kildare Ave & Division St","138","member"
"Sacramento Ave & Lunt Ave","138","casual"
"Long Ave & North Ave","138","member"
"Stony Island Ave & 71st St","137","casual"
"Indiana Ave & 40th St","137","casual"
"Wallace St & 28th St","137","casual"
"Archer (Damen) Ave & 37th St","137","casual"
"Sacramento Ave & Pratt Blvd","135","casual"
"Milwaukee Ave & Agatite Ave","135","casual"
"Kostner Ave & Wrightwood Ave","135","casual"
"Long Ave & Diversey Ave","135","member"
"Mason Ave & Montrose Ave","135","member"
"Narragansett Ave & Wrightwood Ave","135","member"
"Rockwell St & Cermak Rd","134","casual"
"Sacramento Ave & Lyndale St","134","casual"
"Central Park Ave & 24th St","134","casual"
"Wallace St & Pershing Rd","134","casual"
"California Ave & Madison St","133","member"
"Steelworkers Park","133","casual"
"Chicago State University","133","casual"
"Millard Ave & 26th St","133","member"
"Dearborn St & Washington St","133","member"
"Kilbourn Ave & Diversey Ave","133","casual"
"Wood St & Cortland St","133","casual"
"Public Rack - Milwaukee Ave & Haussen Ct","133","casual"
"Stony Island Ave & 67th St","132","member"
"Public Rack - Hyde Park Blvd & 55th St","132","casual"
"Rockwell Ave & Logan Blvd","132","casual"
"Narragansett Ave & Montrose Ave","132","member"
"Damen Ave & Pershing Rd","131","casual"
"Austin Blvd & Madison St","131","member"
"Central Ave & Parker Ave","131","member"
"Stony Island Ave & 64th St","131","casual"
"Granville Ave & Clark St","129","member"
"Rockwell/Irving Park Hub","129","member"
"Larrabee St & Chicago Ave","129","member"
"Rockwell St & 57th St","129","casual"
"Public Rack - Kedvale Ave & 63rd St W","129","member"
"Public Rack - Emerald Ave & 43rd St","128","member"
"California Ave & Madison St","128","casual"
"Wood St & Walnut St","127","casual"
"Wabash Ave & 87th St","126","casual"
"Malden St & Wilson Ave","126","casual"
"Central Park Ave & 24th St","126","member"
"Stony Island Ave & 75th St","125","casual"
"NAVY PIER","125","casual"
"Public Rack - Monticello Ave & Belmont Ave","124","casual"
"Public Rack - Evans Ave & 63rd St","124","member"
"Damen Ave & 81st St","124","casual"
"Milwaukee Ave & Highland Ave","124","casual"
"Prospect Sq & 91st St","124","casual"
"Southport Ave & Waveland Ave*","123","member"
"Merrimac Park","123","member"
"Lockwood Ave & Wrightwood Ave","123","casual"
"Clark St & Washington St","123","member"
"Kostner Ave & Devon Ave","123","casual"
"Union Ave & Root St","121","casual"
"Wabash Ave & Jackson Blvd","120","casual"
"MLK Jr Dr & 56th St","120","casual"
"Grace St & Cicero Ave","119","member"
"Cottage Grove Ave & 49th St","119","member"
"Hamlin Ave & Grand Ave","118","member"
"Public Rack - Justine St & 87th St","118","member"
"Harlem Ave & Irving Park Rd","117","casual"
"Menard Ave & Lawrence Ave","117","casual"
"Linder Ave & Montrose Ave","117","casual"
"Higgins Ave & Austin Ave","117","casual"
"Stewart Ave & 123rd St","117","casual"
"Kenneth Ave & Lawrence Ave","117","casual"
"Lock St & 31st St","116","casual"
"Kostner Ave & Devon Ave","116","member"
"Pulaski Rd & Ann Lurie Pl","116","member"
"Wentworth Ave & 63rd St","115","casual"
"Avers Ave & Foster Ave","115","member"
"California Ave & 71st St","115","member"
"Lawndale Ave & 30th St","115","casual"
"Princeton Ave & Garfield Blvd","114","casual"
"Harper Ave & 55th St","114","casual"
"Damen Ave & Ohio St","114","casual"
"Albany Ave & 26th St","114","member"
"California & 16th St","114","casual"
"Halsted St & 47th Pl","114","casual"
"Hyacinth Ave & Milwaukee Ave","113","casual"
"Harding Ave & Chicago Ave","113","member"
"Kedzie Ave & 54th Pl","113","casual"
"Farragut Ave & Central Ave","113","casual"
"Public Rack - Spaulding Ave & Evergreen Ave","112","casual"
"Marshfield Ave & 44th St","112","casual"
"Albany Ave & Douglas Blvd","112","casual"
"Mozart St & Jackson Blvd","112","member"
"Ashland Ave & McDowell Ave","111","member"
"Public Rack - South Shore Dr & 71st St","111","member"
"Austin Blvd & Madison St","110","casual"
"Pershing Rd & Sacramento Ave","110","casual"
"Portage Park","110","member"
"Jeffery Blvd & 71st St","110","casual"
"Kostner Ave & 63rd St","110","casual"
"Public Rack - Jonathan Y Scammon Public School","109","casual"
"Laramie Ave & Bloomingdale Ave","109","member"
"Central Park Ave & Ardmore Ave","109","casual"
"Komensky Ave & 47th St","109","member"
"MLK Jr Dr & 63rd St","108","casual"
"Sacramento Blvd & Franklin Blvd","108","casual"
"Richmond St & 59th St","108","member"
"Morgan St & Pershing Rd","108","casual"
"Sayre Ave & Diversey Ave","107","casual"
"Ashland Ave & McDowell Ave","107","casual"
"Avers Ave & Foster Ave","107","casual"
"Central Ave & Roscoe St","106","casual"
"Mason Ave & Belmont Ave","106","casual"
"Public Rack - Kedzie Ave & Argyle St","106","casual"
"Public Rack - Keating & Peterson","106","member"
"Kedzie Ave & 52nd St","105","casual"
"Hale Ave & 107th St","105","casual"
"Narragansett Ave & McLean Ave","105","casual"
"Kilbourn Ave & Belden Ave","104","casual"
"Elston Ave & Carmen Ave","104","casual"
"State St & 54th St","104","member"
"Lamon Ave & Belmont Ave","104","casual"
"Clark/Racine","103","casual"
"Merrimac Park","103","casual"
"Cottage Grove Ave & 47th St","103","casual"
"Union Ave & Root St","102","member"
"Ashland Ave & 50th St","102","casual"
"Nordica Ave & Medill Ave","102","member"
"Marshfield Ave & Wabansia Ave","101","member"
"Leclaire Ave & Belmont Ave","101","member"
"Sacramento Blvd & Fulton Ave","101","casual"
"Wood St & 33rd St","101","member"
"Cottage Grove Ave & 83rd St","101","member"
"Francisco Ave & 47th St","100","casual"
"Pulaski Rd & Congress Pkwy","100","casual"
"Public Rack - Hollywood Park","100","member"
"Oakley Ave & Lyndale St","100","member"
"Addison/Racine","100","member"
"Public Rack - Milwaukee Ave & Diversey Ave","100","casual"
"Nordica Ave & Medill Ave","99","casual"
"Harlem Ave & Irving Park Rd","99","member"
"Marshfield Ave & 44th St","99","member"
"Sedgwick St & Chicago Ave","99","casual"
"Lynch Ave & Elston Ave","98","casual"
"Kingsbury St & Kinzie St 1","97","casual"
"Shields Ave & 43rd St","97","member"
"Lawler Ave & 50th St","96","casual"
"MLK Jr Dr & 83rd St","96","member"
"Richmond St & Lincoln Ave","96","casual"
"Wood St & Milwaukee Ave*","96","member"
"Francisco Ave & 85th St","96","casual"
"Halsted St & 51st St","96","casual"
"Mozart St & Jackson Blvd","96","casual"
"Public Rack - Langley Ave & 49th St","96","member"
"Vincennes Ave & 95th St","96","member"
"Public Rack - Western Ave & 47th Pl","96","member"
"Stony Island Ave & 64th St","96","member"
"Campbell Ave & 51st St","96","casual"
"Lockwood Ave & Grand Ave","95","casual"
"Narragansett Ave & Montrose Ave","95","casual"
"Lavergne Ave & Fullerton Ave","95","casual"
"Laramie Ave & Bloomingdale Ave","95","casual"
"Kildare Ave & North Ave","95","casual"
"Vincennes Ave & 107th St","94","casual"
"Pine Ave & Division St","93","member"
"Granville Ave & Pulaski Rd","93","member"
"Western Ave & Gunnison St","93","casual"
"Lexington St & California Ave","93","member"
"Hamlin Ave & Grand Ave","93","casual"
"May St & Hubbard St","93","casual"
"State St & 54th St","92","casual"
"Central & Elston","92","casual"
"St. Clair St & Erie St 1","92","member"
"California Ave & 41st St","92","member"
"Leclaire Ave & Belmont Ave","92","casual"
"Southport Ave & Grace St","92","casual"
"Public Rack - Spaulding Ave & North Ave","92","member"
"Waveland/Racine","92","member"
"Keeler Ave & Roosevelt Rd","92","casual"
"Narragansett Ave & North Ave","92","casual"
"Chicago State University","91","member"
"Sacramento Ave & Pratt Blvd","91","member"
"Wentworth Ave & 63rd St","91","member"
"Calumet Park","91","casual"
"Central Park Ave & Ohio St","90","member"
"St Louis Ave & Norman Bobbins Pl","89","casual"
"Kedzie Ave & Archer Ave","89","casual"
"Halsted St & 63rd St","89","member"
"Sheffield Ave & Kingsbury St*","89","member"
"Lynch Ave & Elston Ave","89","member"
"Lexington St & California Ave","89","casual"
"Kedvale Ave & Peterson Ave","88","member"
"Commercial Ave & 83rd St","88","member"
"Cicero Ave & Roscoe Ave","88","casual"
"Western Ave & 43rd St","88","casual"
"Sedgwick St & North Ave*","88","member"
"Kedzie Ave & 60th St","88","member"
"Laramie Ave & Irving Park Rd","87","member"
"Washtenaw Ave & Polk St","87","member"
"State St & 79th St","87","casual"
"Public Rack - Harold Washington Park","87","member"
"Homan Ave & 26th St","87","casual"
"Exchange Ave & 79th St","87","casual"
"Kenosha Ave & Wellington Ave","87","casual"
"Vincennes Ave & 79th St","87","member"
"Western Ave & 111th St","86","casual"
"Hoyne Ave & 34th St","86","casual"
"Public Rack - Woodlawn Ave & 63rd St N","86","casual"
"Wabash Ave & 59th St","86","casual"
"Larrabee St & Kingsbury St 2","85","casual"
"Public Rack - Pulaski Rd & 44th St","85","member"
"Central Park Ave & Ohio St","85","casual"
"Kedzie Ave & 60th St","85","casual"
"Virginia Ave & Catalpa Ave","85","casual"
"Damen Ave & Evergreen Ave","84","casual"
"Public Rack - Hamlin Ave & Fullerton Ave","84","casual"
"Public Rack - Keystone Ave & Irving Park Rd","84","member"
"State St & 95th St","84","member"
"Shore Dr & 53rd St","84","member"
"Central Ave & Lake St","84","member"
"Kedvale Ave & Peterson Ave","83","casual"
"Austin Ave & Milwaukee Ave","83","member"
"Meade Ave & Fullerton Ave","83","member"
"Public Rack - Hamlin Ave & Montrose Ave","83","casual"
"Milwaukee Ave & Wabansia Ave*","83","member"
"Sacramento Ave & 25th St","82","member"
"Homan Ave & Arthington Ave","82","casual"
"Stewart Ave & 83rd St","82","member"
"Leamington Ave & Hirsch St","82","casual"
"Kedzie Ave & Harrison St","82","member"
"Mason Ave & Montrose Ave","82","casual"
"Morgan St & Pershing Rd","82","member"
"Public Rack - Leamington & Elston","82","member"
"Western Ave & 28th St","82","casual"
"Public Rack - Woodlawn Ave & 63rd St S","81","member"
"Kostner Ave & 63rd St","81","member"
"Kedzie Ave & Roosevelt Rd","81","casual"
"California Ave & Marquette Rd","81","casual"
"Augusta Blvd & Laramie Ave","81","casual"
"Millard Ave & 26th St","80","casual"
"Central Park Ave & Washington Blvd","80","casual"
"Albany Ave & 26th St","80","casual"
"Lavergne Ave & Diversey Ave","79","member"
"Public Rack - Avers Ave & Irving Park Rd","79","member"
"Albany Ave & 16th St","79","casual"
"Ave L & 114th","79","casual"
"Western Ave & 28th St","79","member"
"Laramie Ave & Kinzie St","79","casual"
"Southport Ave & Wrightwood Ave*","79","member"
"Marmora Ave & Belmont Ave","79","casual"
"Mason Ave & Grand Ave","78","casual"
"Kedzie Ave & 24th St","78","casual"
"Lavergne Ave & Diversey Ave","78","casual"
"Ashland Ave & 50th St","78","member"
"Grace St & Central Ave","77","casual"
"Austin Ave & Milwaukee Ave","77","casual"
"Spaulding Ave & 16th St","77","casual"
"Mango Ave & North Ave","77","casual"
"Austin Blvd & Chicago Ave","77","casual"
"Vernon Ave & 75th St","77","member"
"Wabash Ave & 87th St","77","member"
"Kenmore Ave & School St","76","casual"
"Yates Blvd & 75th St","76","member"
"Kedzie Ave & Roosevelt Rd","76","member"
"Tripp Ave & 65th St","76","casual"
"MLK Jr Dr & 56th St","76","member"
"Kilpatrick Ave & Grand Ave","76","casual"
"Higgins Ave & Austin Ave","75","member"
"Harlem Ave & Bloomingdale Ave","75","member"
"Central Ave & Altgeld St","75","casual"
"Halsted St & 63rd St","75","casual"
"Central & Elston","75","member"
"Kedzie Ave & Archer Ave","74","member"
"Vernon Ave & 79th St","74","member"
"Eberhart Ave & 61st St","74","member"
"Western Ave & 101st St","74","casual"
"Halsted St & Melrose St","74","casual"
"Public Rack - Mango & Higgins","74","member"
"Public Rack - Hamlin Ave & Fullerton Ave","74","member"
"Central Ave & Lake St","73","casual"
"Public Rack - Karlov Ave & Kamerling Ave","73","member"
"Noble St & Potomac Ave","73","member"
"Pulaski Rd & 54th St","73","casual"
"State St & 79th St","73","member"
"Public Rack - California Ave & Cortez St","73","casual"
"Halsted St & Dickens Ave*","73","member"
"Marshfield Ave & Wabansia Ave","72","casual"
"Laramie Ave & Addison St","72","member"
"Dearborn St & Madison St","71","casual"
"Grace/Sheffield","71","member"
"Western Ave & 104th St","70","casual"
"Walden Pkwy & 100th St","70","member"
"Rockwell St & 47th St","70","casual"
"Perry Ave & 69th St","70","member"
"Public Rack - Lawndale Ave & Diversey Ave","70","member"
"State St & 45th St","69","member"
"Burnham Greenway & 105th St","69","casual"
"Dorchester Ave & 53rd St","69","casual"
"Kildare Ave & 47th St","69","casual"
"Wentworth Ave & Cermak Rd","68","member"
"Commercial Ave & 130th St","68","casual"
"Wentworth Ave & 107th St","68","casual"
"Public Rack - Hyde Park Blvd & 53rd St","68","casual"
"Lawndale Ave & 111th St","68","casual"
"Ewing Ave & 106th St","68","casual"
"Harding Ave & Division St","68","casual"
"Public Rack - Lowell Ave & Elston Ave","68","casual"
"Houston Ave & 92nd St","67","casual"
"Nagle Ave & Belmont Ave","67","casual"
"Bernard St & Peterson Ave","67","casual"
"Columbus Ave & 79th St","67","casual"
"Rainbow Beach","67","casual"
"La Villita Park","66","casual"
"Lamon Ave & Armitage Ave","66","casual"
"Cumberland Ave & Catherine Ave","66","member"
"Public Rack - Springfield Ave & Lawrence Ave","65","member"
"Public Rack - Rockwell & Division","65","casual"
"Cottage Grove Ave & 83rd St","65","casual"
"Houston Ave & 92nd St","64","member"
"Harlem Ave & Bloomingdale Ave","64","casual"
"Damen Ave & 59th St","64","casual"
"Public Rack - Karlov Ave & Milwaukee Ave","64","casual"
"Burnham Greenway & 112th St","64","member"
"Homan Ave & Fillmore St","64","member"
"Overhill Ave & Belmont Ave","64","casual"
"Monticello Ave & Chicago Ave","64","member"
"Kedzie Ave & 83rd St","63","casual"
"Shields Ave & 43rd St","63","casual"
"Kildare Ave & Chicago Ave","63","member"
"Damen Ave & 87th St","63","casual"
"Orange Ave & Addison St","63","casual"
"Lawler Ave & North Ave","63","casual"
"Grace St & Central Ave","63","member"
"Oglesby Ave & 100th St","62","member"
"Central Ave & Parker Ave","62","casual"
"Avers Ave & 16th St","62","member"
"Public Rack - Harold Washington Park","62","casual"
"Sheridan Rd & Berwyn Ave","62","casual"
"Waveland/Wilton Corral","62","member"
"Lavergne Ave & Division St","61","member"
"Albany Ave & 16th St","61","member"
"Public Rack - Kimball & Ardmore","61","member"
"Cottage Grove Ave & 111th Pl","61","casual"
"California Ave & 36th St","61","casual"
"Cicero Ave & Wrightwood Ave","61","casual"
"Menard Ave & Milwaukee Ave","61","casual"
"Public Rack - Kimbark Ave & 67th St","60","casual"
"Central Ave & Madison St","60","member"
"Komensky Ave & 55th St","60","casual"
"Harding Ave & 26th St","60","member"
"Eggleston Ave & 92nd St","59","casual"
"Lavergne Ave & Lawrence Ave","59","casual"
"California Ave & 26th St","59","casual"
"Kedzie Ave & Jackson Blvd","59","member"
"Ewing Ave & Burnham Greenway","59","member"
"Grace/Sheffield","59","casual"
"Central Ave & Wellington Ave","59","member"
"Harding Ave & Division St","59","member"
"Ewing Ave & 106th St","58","member"
"Kilpatrick Ave & Parker Ave","58","casual"
"Central Ave & Madison St","58","casual"
"Halsted St & 69th St","58","casual"
"Newcastle Ave & Irving Park Rd","58","casual"
"Lawndale Ave & 16th St","58","casual"
"Wabash Ave & 49th St","57","casual"
"Daley Center Plaza Corral","57","casual"
"Waveland/Wilton Corral","57","casual"
"Clyde Ave & 87th St","57","casual"
"Washtenaw Ave & Peterson Ave","56","casual"
"N Clark St & W Elm St","56","member"
"Lawler Ave & North Ave","56","member"
"Lamon Ave & Chicago Ave","56","member"
"Kenwood Ave & 57th St","56","casual"
"Kedzie Ave & 54th Pl","56","member"
"Public Rack - Cicero Ave & Belle Plaine Ave","56","casual"
"Dauphin Ave & 87th St","56","casual"
"Public Rack - Karlov Ave & Milwaukee Ave","56","member"
"California Ave & 71st St","55","casual"
"Long Ave & Diversey Ave","55","casual"
"Kostner Ave & Adams St","55","member"
"Wellington Ave & Mulligan Ave","55","casual"
"Central Park & Augusta Blvd","55","casual"
"Kingsbury St & Kinzie St 2","55","casual"
"Pulaski Rd & 54th St","55","member"
"MLK Jr Dr & 63rd St","55","member"
"Public Rack - Peterson Ave & Drake Ave","55","member"
"Meade Ave & Addison St","54","casual"
"Major Ave & Addison St","54","casual"
"Big Marsh Park","54","member"
"Francisco Ave & 47th St","54","member"
"Cottage Grove Ave & 71st St","54","casual"
"Exchange Ave & 79th St","54","member"
"Public Rack - Spaulding Ave & North Ave","54","casual"
"Lawndale Ave & 59th St","54","member"
"Tripp Ave & 65th St","54","member"
"Panama Ave & Grace St","54","casual"
"Baltimore Ave & 133rd St","53","casual"
"Central Ave & Wellington Ave","53","casual"
"Major Ave & Addison St","53","member"
"Michigan Ave & 105th St","53","member"
"Clark/Racine","53","member"
"Baltimore Ave & 87th St","53","member"
"Lamon Ave & Armitage Ave","53","member"
"Oak Park & Wellington","53","casual"
"Halsted St & Court Pl","53","member"
"Public Rack - Prairie Ave & 47th St ","53","member"
"Martin Luther King Dr & 87th St","53","member"
"Oakley Ave & Lyndale St","53","casual"
"Kildare Ave & Division St","53","casual"
"Public Rack - Nashotah & Northwest Hwy","53","casual"
"Michigan Ave & 105th St","53","casual"
"Public Rack - Campbell Ave & Pratt Blvd","52","member"
"Larrabee St & Chicago Ave","52","casual"
"Central Ave & Roscoe St","52","member"
"Halsted St & 69th St","52","member"
"Le Mai Ave & Devon Ave","52","member"
"Dan Ryan Woods & 83rd St","52","member"
"Komensky Ave & 47th St","52","casual"
"Cicero Ave & Lake St","52","casual"
"Rockwell/Irving Park Hub","52","casual"
"State St & Pershing Rd","52","casual"
"Ellis Ave & 83rd St","51","casual"
"Public Rack - Kimball Ave & Lawrence Ave","51","member"
"Tripp Ave & 15th St","51","member"
"Latrobe Ave & Chicago Ave","51","member"
"Homewood Ave & 115th St","51","casual"
"Rockwell St & 47th St","51","member"
"Steelworkers Park","50","member"
"Spaulding Ave & 16th St","50","member"
"Artesian Ave & 55th St","50","casual"
"Vincennes Ave & 104th St","50","casual"
"Kedzie Ave & Redfield Dr","50","casual"
"Fairfield Ave & 44th St","50","member"
"Public Rack - Champlain Ave & 65th St","49","casual"
"Archer Ave & 49th St","49","member"
"Racine Ave & Garfield Blvd","49","casual"
"Public Rack - Western Ave & 92nd Pl","49","member"
"Long Ave & Belmont Ave","49","member"
"Harding Ave & 26th St","49","casual"
"Jeffery Blvd & 76th St","49","casual"
"Central Ave & Chicago Ave","48","casual"
"Kildare Ave & Archer Ave","48","casual"
"Kedzie Ave & Harrison St","48","casual"
"Orange Ave & Addison St","48","member"
"Kildare Ave & 55th St","48","casual"
"California Ave & Marquette Rd","48","member"
"St. Louis & 71st St","48","casual"
"Halsted St & 104th St","48","casual"
"Sayre Ave & Diversey Ave","48","member"
"Wabash Ave & 83rd St","48","member"
"Monticello Ave & Chicago Ave","48","casual"
"Maplewood Ave & 59th St","47","casual"
"Public Rack - Peterson Park","47","member"
"Hamilton Park","47","casual"
"Ashland Ave & 66th St","47","casual"
"Eggleston Ave & 111th St","47","casual"
"Kedzie Ave & 24th St","47","member"
"Princeton Ave & 95th St","47","casual"
"Pine Ave & Division St","46","casual"
"Central Park Ave & Washington Blvd","46","member"
"W 103rd St & S Avers Ave","46","casual"
"Elizabeth St & 47th St","46","member"
"Oglesby Ave & 100th St","46","casual"
"21st St & Pulaski Rd","46","casual"
"NAVY PIER","46","member"
"Long Ave & North Ave","46","casual"
"Kildare Ave & 26th St","46","member"
"Loomis Blvd & 84th St","45","casual"
"Austin Blvd & Chicago Ave","45","member"
"Rainbow Beach","45","member"
"Lavergne Ave & Division St","45","casual"
"Indiana Ave & 103rd St","45","member"
"Long Ave & Belden Ave","45","member"
"Homan Ave & Fillmore St","45","casual"
"Ashland Ave & Garfield Blvd","45","casual"
"Milwaukee & Fullerton","45","casual"
"Public Rack - Milwaukee Ave & Higgins Ave","45","member"
"Eggleston Ave & 69th St","45","casual"
"Halsted St & 59th St","45","casual"
"Maplewood Ave & 59th St","45","member"
"Public Rack - Lawndale Ave & Diversey Ave","45","casual"
"Halsted St & 93rd St","45","casual"
"Kedzie Ave & 45th St","45","member"
"Damen Ave & 51st St","45","casual"
"Phillips Ave & 83rd St","45","member"
"Shabbona Park","45","member"
"Troy St & Jackson Blvd","44","member"
"Cicero Ave & Wellington Ave","44","member"
"Sacramento Ave & Linden Pl","44","member"
"Calumet Park","44","member"
"Mango Ave & Diversey Ave","44","casual"
"Dauphin Ave & 87th St","44","member"
"Public Rack - Kilpatrick & Elston","44","member"
"Mayfield Ave & Roosevelt Rd","44","casual"
"Kedzie Ave & 45th St","44","casual"
"Bradley Park","44","casual"
"Knox Ave & Marquette Ave","44","casual"
"Phillips Ave & 79th St","44","casual"
"Hastings LWS","44","casual"
"Central Park Blvd & 5th Ave","44","casual"
"Laramie Ave & Kinzie St","44","member"
"21st St & Pulaski Rd","44","member"
"Granville Ave & Clark St","43","casual"
"Hastings St Depot LWS","43","member"
"Archer Ave & Homan Ave","43","member"
"Ashland Ave & 74th St","43","casual"
"Franklin St & Monroe St Corral","43","casual"
"Halsted St & 59th St","43","member"
"Oketo Ave & Addison St","43","casual"
"Phillips Ave & 83rd St","43","casual"
"Public Rack - Emerald Ave & 43rd St","43","casual"
"Kedzie Ave & 38th Pl","43","casual"
"Pulaski Rd & Lake St","43","casual"
"Public Rack - Keystone Ave & Irving Park Rd","43","casual"
"Eberhart Ave & 91st St","42","casual"
